Establishment,Host,Neighbourhood,Latitude,Longitude,Room Type,Price,Duration,Total Reviews
Holiday London DB Room Let-on going,Alina,Islington,51.56861,-0.1127,Private room,65,1,22
Bright Chelsea  Apartment. Chelsea!,Philippa,Kensington and Chelsea,51.4878,-0.16813,Entire home/apt,75,3,89
Superb 3-Bed/2 Bath & Wifi: Trendy W1,Liz,Westminster,51.52195,-0.14094,Entire home/apt,265,4,43
Boutique Chelsea/Fulham Double bed 5-star ensuite,Charlotte,Hammersmith and Fulham,51.47935,-0.19743,Private room,150,3,0
Clean big Room in London (Room 1),Grace,Barnet,51.57438,-0.21081,Private room,29,10,129
Beautiful Ensuite Richmond-upon-Thames borough,Chi-Chi,Hounslow,51.46416,-0.32554,Private room,65,2,11
Kew Gardens 3BR house in cul-de-sac,Geert,Richmond upon Thames,51.48085,-0.28086,Entire home/apt,195,3,86
You are GUARANTEED to love this,Agri & Roger,Haringey,51.58478,-0.16057,Private room,72,2,546
Double room/ lounge,Lisa,Croydon,51.41844,-0.08729,Private room,65,1,0
CHARMING FAMILY HOME,Elisa & Dom,Hammersmith and Fulham,51.50701,-0.23362,Entire home/apt,190,30,36
Room 1 Large Double Bedroom - front ground floor,Paul,Haringey,51.58684,-0.08632,Private room,45,1,0
SPACIOUS ROOM IN CONTEMPORARY STYLE FLAT,Cesar,Southwark,51.4786,-0.06114,Private room,42,1,6
Stylish bedsit in Notting Hill ish flat.,Alec,Westminster,51.52605,-0.19942,Private room,42,5,10
Room 4 Cosy Double Bedroom on First Floor,Paul,Haringey,51.58738,-0.08792,Private room,45,1,0
Clean big Room in London (Room 2),Grace,Barnet,51.574,-0.21058,Private room,25,10,84
2 Double bed apartment in quiet area North London,Sean,Barnet,51.61492,-0.25632,Entire home/apt,250,4,21
Room in maisonette in chiswick,Peter,Hounslow,51.49351,-0.25568,Private room,150,1,71
Room with a view  zone 1  Central Bankside,Nina,Southwark,51.50191,-0.10204,Private room,80,2,88
Room in relaxed family house!,Bimpe,Waltham Forest,51.5584,0.00258,Private room,37,2,2
You Will Save Money Here,Agri & Roger,Barnet,51.5859,-0.16434,Private room,60,2,516
Fabulous flat w garden and bkfst!,Shelley,Hammersmith and Fulham,51.50822,-0.21562,Private room,125,1,0
Quiet Comfortable Room in Fulham,Sylvan,Hammersmith and Fulham,51.48164,-0.21082,Private room,38,2,199
Beautiful 1 bed apt in Queens Park,Calypso,Brent,51.53031,-0.21713,Entire home/apt,130,4,112
Elegant Stylish Bedroom - Double Ensuite,Sally,Hammersmith and Fulham,51.47511,-0.19263,Private room,65,3,35
Elegant Cosy Bedroom - Double Room,Sally,Hammersmith and Fulham,51.4743,-0.19204,Private room,55,1,12
